,id,cast,director
0,27205,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ken Watanabe']",['Christopher Nolan']
1,157336,"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain']",['Christopher Nolan']
2,155,"['Christian Bale', 'Heath Ledger', 'Michael Caine']",['Christopher Nolan']
3,19995,"['Sam Worthington', 'Zoe Saldaña', 'Sigourney Weaver']",['James Cameron']
4,24428,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']",['Joss Whedon']
5,27205,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ken Watanabe']",['Christopher Nolan']
6,157336,"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain']",['Christopher Nolan']
7,155,"['Christian Bale', 'Heath Ledger', 'Michael Caine']",['Christopher Nolan']
8,19995,"['Sam Worthington', 'Zoe Saldaña', 'Sigourney Weaver']",['James Cameron']
9,24428,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']",['Joss Whedon']
10,293660,"['Ryan Reynolds', 'Morena Baccarin', 'Ed Skrein']",['Tim Miller']
11,299536,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']","['Anthony Russo', 'Joe Russo']"
12,550,"['Edward Norton', 'Brad Pitt', 'Helena Bonham Carter']",['David Fincher']
13,118340,"['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista']",['James Gunn']
14,680,"['John Travolta', 'Samuel L. Jackson', 'Uma Thurman']",['Quentin Tarantino']
15,13,"['Tom Hanks', 'Robin Wright', 'Gary Sinise']",['Robert Zemeckis']
16,671,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",['Chris Columbus']
17,1726,"['Robert Downey Jr.', 'Terrence Howard', 'Jeff Bridges']",['Jon Favreau']
18,68718,"['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio']",['Quentin Tarantino']
19,278,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton']",['Frank Darabont']
20,299534,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']","['Anthony Russo', 'Joe Russo']"
21,603,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss']","['Lana Wachowski', 'Lilly Wachowski']"
22,597,"['Leonardo DiCaprio', 'Kate Winslet', 'Billy Zane']",['James Cameron']
23,475557,"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz']",['Todd Phillips']
24,120,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen']",['Peter Jackson']
25,122,"['Elijah Wood', 'Sean Astin', 'Ian McKellen']",['Peter Jackson']
26,11324,"['Leonardo DiCaprio', 'Mark Ruffalo', 'Ben Kingsley']",['Martin Scorsese']
27,106646,"['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie']",['Martin Scorsese']
28,99861,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']",['Joss Whedon']
29,271110,"['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson']","['Anthony Russo', 'Joe Russo']"
30,49026,"['Christian Bale', 'Michael Caine', 'Gary Oldman']",['Christopher Nolan']
31,68721,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle']",['Shane Black']
32,284054,"['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o""]",['Ryan Coogler']
33,284052,"['Benedict Cumberbatch', 'Chiwetel Ejiofor', 'Rachel McAdams']",['Scott Derrickson']
34,76341,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult']",['George Miller']
35,16869,"['Brad Pitt', 'Mélanie Laurent', 'Christoph Waltz']",['Quentin Tarantino']
36,70160,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']",['Gary Ross']
